,xxx,HOMO-3/LUMO,HOMO-3/LUMO+1,HOMO-3/LUMO+2,HOMO-3/LUMO+3,HOMO-2/LUMO,HOMO-2/LUMO+1,HOMO-2/LUMO+2,HOMO-2/LUMO+3,HOMO-1/LUMO,HOMO-1/LUMO+1,HOMO-1/LUMO+2,HOMO-1/LUMO+3,HOMO/LUMO,HOMO/LUMO+1,HOMO/LUMO+2,HOMO/LUMO+3,IP,EA
0,[C:4](=[C:5](/[C:11]([H:12])([H:13])[H:14])[N:21]([H:22])[H:23])(\[N:31]([H:32])[H:33])[H:41].[Cl-:1].[F:2][H:3],0.48748506073017434,0.5235664221726534,0.5379772578736998,0.554152747478193,0.46678866269600594,0.502967057869321,0.5173388473432838,0.5334834510648597,0.4338571620888584,0.46999646792953403,0.4843314684361467,0.5006144710692132,0.34351925983123527,0.37961813887341667,0.3938997386441481,0.41012516251103615,0.259119375515399,-0.09979303789891365
1,[Br-:2].[Br:1][C@:5]([C@:4]([H:3])([N+:31]([O-:32])[O:33])[N:41]([H:42])[H:43])([H:11])[C:21]#[N:22],0.4183718421580557,0.43144719429044703,0.45606284191115043,0.4847552699356991,0.4139784315113596,0.42687721165054693,0.45163537647234026,0.4803950034533961,0.3835249614192776,0.39648560701109803,0.4210101583657739,0.4495191764650282,0.14360312374505974,0.15694476574595329,0.18130209511678402,0.21006419653973207,0.34260508538136697,-0.016690724080459705
2,[C:4](=[C:5]([C:11]#[N:12])[H:21])([C:31]#[N:32])[C:41]#[N:42].[F-:1].[F:2][H:3],0.4763226586344804,0.4993209080368565,0.5092975025215783,0.5490837811903,0.4613075591683975,0.48478781584705466,0.49457022132008455,0.5341254413200482,0.4269039502713568,0.4504666349269407,0.46027355459188357,0.5000837454237822,0.10034930114252234,0.1239473672338292,0.13315100364750393,0.1730498457041736,0.4161630787003513,0.06520289272869707
3,[C:4](=[C:5](/[C:11]([H:12])([H:13])[H:14])[H:21])(\[C:31]([H:32])([H:33])[H:34])[C:41]#[N:42].[Cl-:1].[F:2][H:3],0.44424823806466146,0.5263061182082728,0.5427356222779662,0.5618954284823706,0.43135650195966335,0.5134915509714559,0.529958531708138,0.5491160347356344,0.4068929686129222,0.4890196416351361,0.5054687276883187,0.5246061072378714,0.3134424074301426,0.39575821245941595,0.4122257415308318,0.4312249097619697,0.33681818586643175,-0.01934535870731513
4,[C:4](=[C:5]([N:11]([H:12])[H:13])[C:21]#[N:22])([N:31]([H:32])[H:33])[N:41]([H:42])[H:43].[Cl-:1].[H:2][H:3],0.4384521503025739,0.48824548694558195,0.5077880597841101,0.5221262470573828,0.4157490609180036,0.4655944287480329,0.48518503202748153,0.4994894298299394,0.37736521160493447,0.4273127416567449,0.4467659558069525,0.4610416655459583,0.30467935801402213,0.3545308555771382,0.37386836654622574,0.38839345295839156,0.26895117324817297,-0.05132843453832083
5,[C:4](=[C:5]([C:11]([H:12])([H:13])[H:14])[C:21]([H:22])([H:23])[H:24])([C:31]#[N:32])[C:41]([H:42])([H:43])[H:44].[Cl-:1].[Cl:2][H:3],0.42417232995510734,0.5003800416817181,0.5145546845360491,0.530203151739878,0.4134348456704668,0.4895895246182319,0.5038487820503594,0.5195519085203614,0.3956463386720698,0.47187173529793575,0.4857295714144564,0.5013784098985219,0.3047945316279833,0.3812487389439828,0.39533558867590196,0.41069139323513315,0.32352620002826893,-0.015420781872967398
6,[Cl-:2].[Cl:1][C@:5]([C:4]([H:3])([H:31])[N:41]([H:42])[H:43])([C:11]#[N:12])[C:21]([H:22])([H:23])[H:24],0.45276193416858207,0.49657644430577524,0.516165042529052,0.5321388508491088,0.4410558882596245,0.4849725292520624,0.504597082987248,0.5205641454140411,0.4282291814995105,0.4720755346853786,0.49156430738314383,0.5075659620636488,0.36897300265464245,0.4129212447895149,0.4323780751116284,0.4485190399854645,0.3391373721550947,-0.054853648036029504
7,[Br-:1].[C:4](=[C:5](/[N:11]([H:12])[H:13])[C:21]([H:22])([H:23])[H:24])(\[H:31])[C:41]([H:42])([H:43])[H:44].[F:2][H:3],0.46948837832265083,0.5174874351504505,0.5365717524668636,0.5577787420492523,0.4248671001387259,0.4728828277682533,0.4920072609560213,0.5132014892084584,0.4026452012710681,0.4505986698505451,0.4697732276935545,0.4909988040549286,0.3321436819990359,0.3801592337250479,0.3992760082549788,0.4205176779154387,0.2764509023565117,-0.06798626052140988
8,[Cl:1][C@:5]([C:4]([H:3])([H:31])[C:41]#[N:42])([H:11])[C:21]([H:22])([H:23])[H:24].[H-:2],0.49417042888843216,0.522208571901478,0.5337001492327396,0.5489463006021268,0.4858773542483511,0.513936198790862,0.525364362638245,0.5406412740384282,0.4578268715771435,0.4858751303077987,0.4973835744788705,0.512665510347259,0.4412702560258591,0.46926977175709456,0.4806956866685443,0.49614403115178496,0.3852687340226153,-0.08412645744251646
9,[C:4](=[C:5]([N:11]([H:12])[H:13])[C:21]#[N:22])([C:31]([H:32])([H:33])[H:34])[C:41]([H:42])([H:43])[H:44].[Cl-:1].[H:2][H:3],0.43662972371087544,0.5086195818970397,0.5287513144590791,0.5455761310595906,0.42587177721635666,0.49777265424091494,0.5180071828053701,0.5347973531493933,0.37865599584795817,0.45046281679546435,0.4706928690143889,0.48751621568368425,0.3190202032175944,0.390791370350252,0.4111969222580192,0.4278357407980443,0.3016519704050099,-0.026940554789843807
