,xxx,mulliken_dipole_tot,mulliken_quadrupoles
0,[C:1]([O:2][c:3]1[c:4]([H:10])[n+:5]([H:11])[s:6][c:16]1[H:17])([H:7])([H:8])[H:9].[F:12][C:15]([H:13])[H:14],2.588500289252668,8.560623951597048
1,[C:11]([H:15])([H:16])([H:17])[C:21]([C:12]([H:18])([H:19])[H:20])[C:13]#[N:14].[F:1][C:2]([F:3])([F:4])[c:5]1[c:8]([H:10])[o:7][c:6]([H:9])[c:22]1[H:23],3.6857158039361755,5.6752907869579134
2,[C:1]([O:2][c:3]1[c:4]([H:10])[n+:5]([H:11])[c:25]([C:24]([C:12]([H:15])([H:16])[H:17])([C:13]([H:18])([H:19])[H:20])[C:14]([H:21])([H:22])[H:23])[s:6]1)([H:7])([H:8])[H:9].[H:26],3.301582926843497,7.052512560254408
3,[C:15]([C:16]([F:17])([F:18])[F:19])([H:22])([H:23])[C:24]([H:20])[H:21].[C:1]([O:2][c:3]1[c:4]([H:11])[c:5]([H:12])[c:6]([H:13])[c:25]([H:26])[n+:7]1[H:14])([H:8])([H:9])[H:10],2.814650072165482,6.08604567279121
4,[F:1][C:2]([F:3])([F:4])[c:5]1[c:8]([H:10])[s:7][n+:6]([H:9])[c:21]1[C:20]([C:11]([H:13])([H:14])[H:15])([C:12]([H:17])([H:18])[H:19])[H:16].[H:22],5.033932638326175,5.48355771599797
5,[C:1]([O:2][c:3]1[c:6]([H:11])[s:5][c:4]([H:10])[c:22]1[C:21]([C:12]([C:13]([F:14])([F:15])[F:16])([H:19])[H:20])([H:17])[H:18])([H:7])([H:8])[H:9].[H:23],2.2794041173806883,5.691452134248891
6,[C:1]([O:2][c:3]1[o:6][n+:5]([H:11])[c:4]([H:10])[c:22]1[H:23])([H:7])([H:8])[H:9].[c:12]1([H:17])[c:13]([H:18])[n:14][c:15]([H:19])[c:16]([H:20])[c:21]1,2.8067420755445758,8.670117947083321
7,[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[c:14]([H:15])[n:7][o:8]1.[H:10][C:13]([H:11])[H:12],2.985667605277604,3.2981080020862663
8,[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[n:7][c:17]([C:16]([C:10]([H:13])([H:14])[H:15])([F:11])[F:12])[s:8]1.[H:18],2.1338565912379535,5.04701890252235
9,[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[c:5]1[n:9][c:8]([H:21])[c:7]([H:20])[c:6]([H:19])[c:33]1[H:34])([H:10])([H:11])[H:12].[c:22]1([H:27])[c:23]([H:28])[c:24]([H:29])[c:25]([H:30])[c:26]([H:31])[c:32]1,1.1441595590033755,5.316817468095854
10,[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[s:8][n:7][c:6]([H:18])[c:23]1[H:24])([H:9])([H:10])[H:11].[F:19][C:22]([H:20])[H:21],3.0960685041457743,3.6364304062764803
