rxn_smiles,ea
[C:14]([H:17])([H:18])([H:19])[C:26]([C:15]([H:20])([H:21])[H:22])[C:16]([H:23])([H:24])[H:25].[C:1]([O:2][c:3]1[c:4]([H:11])[n:5][c:6]([H:12])[c:27]([H:28])[n+:7]1[H:13])([H:8])([H:9])[H:10]>>[C:1]([O:2][c:3]1[c:4]([H:11])[n:5][c:6]([H:12])[c:27]([C:26]([C:14]([H:17])([H:18])[H:19])([C:15]([H:20])([H:21])[H:22])[C:16]([H:23])([H:24])[H:25])[n+:7]1[H:13])([H:8])([H:9])[H:10].[H:28],19.5
[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[c:5]1[n+:9]([H:21])[c:8]([H:20])[c:7]([H:19])[n:6][c:26]1[H:27])([H:10])([H:11])[H:12].[F:22][C:25]([F:23])[F:24]>>[C:1]([C:2]([C:3]([H:13])([H:14])[H:15])([C:4]([H:16])([H:17])[H:18])[c:5]1[n+:9]([H:21])[c:8]([H:20])[c:7]([H:19])[n:6][c:26]1[C:25]([F:22])([F:23])[F:24])([H:10])([H:11])[H:12].[H:27],14.5
[C:12]([C:13]([F:14])([F:15])[F:16])([H:19])([H:20])[C:21]([H:17])[H:18].[C:1]([O:2][c:3]1[s:6][c:5]([H:11])[c:4]([H:10])[c:22]1[H:23])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[s:6][c:5]([H:11])[c:4]([H:10])[c:22]1[C:21]([C:12]([C:13]([F:14])([F:15])[F:16])([H:19])[H:20])([H:17])[H:18])([H:7])([H:8])[H:9].[H:23],20.8
[C:13]([H:16])([H:17])([H:18])[C:19]([F:14])[F:15].[C:1]([O:2][c:3]1[c:4]([H:10])[c:5]([H:11])[n:6]([H:12])[c:20]1[H:21])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[c:4]([H:10])[c:5]([H:11])[n:6]([H:12])[c:20]1[C:19]([C:13]([H:16])([H:17])[H:18])([F:14])[F:15])([H:7])([H:8])[H:9].[H:21],11.5
[C:10]([F:11])([F:12])([F:13])[C:16]([H:14])[H:15].[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[c:17]([H:18])[n:7][o:8]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[c:17]([C:16]([C:10]([F:11])([F:12])[F:13])([H:14])[H:15])[n:7][o:8]1.[H:18],19.5
[C:11]([H:15])([H:16])([H:17])[C:21]([C:12]([H:18])([H:19])[H:20])[C:13]#[N:14].[C:1]([O:2][c:3]1[n:6][o:5][c:4]([H:10])[c:22]1[H:23])([H:7])([H:8])[H:9]>>[C:1]([O:2][c:3]1[n:6][o:5][c:4]([H:10])[c:22]1[C:21]([C:11]([H:15])([H:16])[H:17])([C:12]([H:18])([H:19])[H:20])[C:13]#[N:14])([H:7])([H:8])[H:9].[H:23],24.3
[C:11]([H:15])([H:16])([H:17])[C:21]([C:12]([H:18])([H:19])[H:20])[C:13]#[N:14].[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[c:7]([H:10])[o:8][c:22]1[H:23]>>[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[c:7]([H:10])[o:8][c:22]1[C:21]([C:11]([H:15])([H:16])[H:17])([C:12]([H:18])([H:19])[H:20])[C:13]#[N:14].[H:23],18.9
[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[c:21]([H:22])[n:7]([H:10])[n:8]1.[c:11]1([H:16])[c:12]([H:17])[n:13][c:14]([H:18])[c:15]([H:19])[c:20]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([H:9])[c:21](-[c:20]2[c:11]([H:16])[c:12]([H:17])[n:13][c:14]([H:18])[c:15]2[H:19])[n:7]([H:10])[n:8]1.[H:22],14.0
[C:1]([O:2][c:3]1[c:4]([H:10])[n:5][o:6][c:21]1[H:22])([H:7])([H:8])[H:9].[c:11]1([H:16])[c:12]([H:17])[n:13][c:14]([H:18])[c:15]([H:19])[c:20]1>>[C:1]([O:2][c:3]1[c:4]([H:10])[n:5][o:6][c:21]1-[c:20]1[c:11]([H:16])[c:12]([H:17])[n:13][c:14]([H:18])[c:15]1[H:19])([H:7])([H:8])[H:9].[H:22],14.3
[F:1][C:2]([F:3])([F:4])[c:5]1[n:6][c:7]([H:9])[c:21]([H:22])[o:8]1.[c:10]1([H:15])[c:11]([H:16])[c:12]([H:17])[c:13]([H:18])[c:14]([H:19])[c:20]1>>[F:1][C:2]([F:3])([F:4])[c:5]1[n:6][c:7]([H:9])[c:21](-[c:20]2[c:10]([H:15])[c:11]([H:16])[c:12]([H:17])[c:13]([H:18])[c:14]2[H:19])[o:8]1.[H:22],10.3
[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:8]([H:19])[s:7][c:6]([H:18])[c:27]1[H:28])([H:9])([H:10])[H:11].[C:20]([H:23])([H:24])([H:25])[C:26]([F:21])[F:22]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[c:8]([H:19])[s:7][c:6]([H:18])[c:27]1[C:26]([C:20]([H:23])([H:24])[H:25])([F:21])[F:22])([H:9])([H:10])[H:11].[H:28],17.5
[C:19]([H:22])([H:23])([H:24])[C:25]([F:20])[F:21].[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[s:8][n:7][c:6]([H:18])[c:26]1[H:27])([H:9])([H:10])[H:11]>>[C:1]([C:2]([C:3]([H:12])([H:13])[H:14])([C:4]([H:15])([H:16])[H:17])[c:5]1[s:8][n:7][c:6]([H:18])[c:26]1[C:25]([C:19]([H:22])([H:23])[H:24])([F:20])[F:21])([H:9])([H:10])[H:11].[H:27],16.7
