,xxx,HOMO-3/LUMO,HOMO-3/LUMO+1,HOMO-3/LUMO+2,HOMO-3/LUMO+3,HOMO-2/LUMO,HOMO-2/LUMO+1,HOMO-2/LUMO+2,HOMO-2/LUMO+3,HOMO-1/LUMO,HOMO-1/LUMO+1,HOMO-1/LUMO+2,HOMO-1/LUMO+3,HOMO/LUMO,HOMO/LUMO+1,HOMO/LUMO+2,HOMO/LUMO+3,IP,EA
0,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[H:11])[H:12])(\[C:13]([H:14])=[C:15](/[H:16])[C:17]([H:18])([H:19])[C:20]([H:21])([H:22])[H:23])[H:24],0.38805993842975467,0.44966562009679245,0.4813169520218037,0.4942276046094259,0.36951352816869587,0.4309563926425938,0.4625667320422731,0.47559773499635627,0.34581038111185747,0.4076375928426982,0.4392667776452549,0.4523192446114225,0.05518324263923304,0.11655059956641152,0.14782588197422578,0.1608905499126561,0.328726050993875,0.03209957575198156
1,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[N:11]([c:12]1[c:13]([H:14])[c:15]([H:16])[c:17]([H:18])[c:19]([H:20])[c:21]1[H:22])[H:23])[c:24]1[c:25]([H:26])[c:27]([H:28])[c:29]([H:30])[c:31]([H:32])[c:33]1[H:34])(\[Cl:35])[C:36]([H:37])([H:38])[H:39],0.32615943336993247,0.3613893157310847,0.3514163863106692,0.35250853500441565,0.31603425030848376,0.3515067296469462,0.34151154045763027,0.34250675091091,0.30761393904994744,0.3429151304807679,0.3327849055721866,0.33383341410252054,0.27377312665719467,0.30935311040014113,0.29883462198706656,0.3002337675510147,0.2866797172116453,0.01780416452139608
2,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[N:11]([C:12]([H:13])([H:14])[H:15])[C:16]([H:17])([H:18])[H:19])[H:20])(\[c:21]1[c:22]([H:23])[c:24]([H:25])[c:26]([H:27])[c:28]([H:29])[c:30]1[H:31])[Br:32],0.35264903162019595,0.3762761176437688,0.3971253243882918,0.42454759504936473,0.3400459645250281,0.36370729286370923,0.3847583178150441,0.4122527670898945,0.3268284622839295,0.35040741388363655,0.37108467029710646,0.3987644104302778,0.09547042013920733,0.11860490583336203,0.13923268705327602,0.1671646655997206,0.3063782425754813,0.021224426291517866
3,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[C:11]([H:12])([H:13])[H:14])[H:15])(\[Br:16])[c:17]1[c:18]([H:19])[c:20]([H:21])[c:22]([H:23])[c:24]([H:25])[c:26]1[H:27],0.3572235892671092,0.37004124106222386,0.4027189181984717,0.4443383968390819,0.34838223238183164,0.3612082691056147,0.3939097527111919,0.4355549832353637,0.3294967122298498,0.3423453572905978,0.3752163974417625,0.4170500859451881,0.027560747650451113,0.03999633550860099,0.07257514985965083,0.11465719813357259,0.3340397837194431,0.04152300293887986
4,[C:1]([H:2])([H:3])([N+:4](=[O:5])[O-:6])[C:7]([C:8](=[C:9]([O-:10])[O:11][C:12]([H:13])([C:14]#[C:15][H:16])[H:17])[C:18]([H:19])([H:20])[H:21])([H:22])[H:23],0.3849870293376714,0.43976242654423603,0.46537008423180887,0.48946526374297256,0.37869735526147463,0.4333234538169828,0.45903165088354403,0.4830313949995729,0.3716735460046725,0.4263620054221011,0.45197345722537563,0.4760638479937088,0.34151383264122703,0.3961543800137236,0.4218227103221416,0.44595607532703896,0.3441668110150017,-0.015705281446282176
5,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[C:11]([H:12])([H:13])[H:14])[Br:15])(\[C:16]([H:17])([H:18])[H:19])[H:20],0.3977683110340404,0.4379224461132519,0.47756119782196427,0.5024855407390196,0.3824737866523328,0.4222709721710783,0.46224046849559,0.48733953071121333,0.3596639492912817,0.39972700352649493,0.43934166122177604,0.4643767210383308,0.0548442206034916,0.0951235909944502,0.1343493833169696,0.1595790241385975,0.33466101674729937,0.011620819299536584
6,[C:1]([H:2])([H:3])([N+:4](=[O:5])[O-:6])[C:7]([C:8](=[C:9]([O-:10])[C:11]([H:12])([H:13])[H:14])[C:15]([H:16])([H:17])[H:18])([C:19]([H:20])([H:21])[H:22])[C:23]([H:24])([H:25])[H:26],0.39262567407210147,0.446233678718326,0.5082752655388338,0.5248394232699323,0.3771937460551462,0.43082892950098595,0.49288009054580295,0.5093809798595811,0.3608958863758141,0.4145215879416426,0.4765745426046015,0.4930648644362183,0.3297327015154523,0.3834783572233271,0.44544462089325326,0.46180742129117897,0.33304909418301015,-0.013320079025191727
7,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8](/[C:9](=[O:10])[c:11]1[c:12]([H:13])[c:14]([H:15])[c:16]([H:17])[c:18]([H:19])[c:20]1[H:21])[H:22])(\[c:23]1[c:24]([H:25])[c:26]([H:27])[c:28]([H:29])[c:30]([H:31])[c:32]1[H:33])[Br:34],0.32712190176332456,0.32940666983912725,0.337155651824847,0.38868032218889537,0.32789847838443853,0.3302412936561634,0.338070103754548,0.38942115746401973,0.30355497467028025,0.3058748050908911,0.3135060038489198,0.3651509310277771,-0.001768040412829397,-0.0002166665467399853,0.008083230234985495,0.05937199771217746,0.3358193785168807,0.05880138689660298
8,[C:1]([H:2])([H:3])([N+:4](=[O:5])[O-:6])[C:7]([C:8](=[C:9]([O-:10])[N:11]([c:12]1[c:13]([H:14])[c:15]([H:16])[c:17]([H:18])[c:19]([H:20])[c:21]1[H:22])[H:23])[c:24]1[c:25]([H:26])[c:27]([H:28])[c:29]([H:30])[c:31]([H:32])[c:33]1[H:34])([c:35]1[c:36]([H:37])[c:38]([H:39])[c:40]([H:41])[c:42]([H:43])[c:44]1[H:45])[c:46]1[c:47]([H:48])[c:49]([H:50])[c:51]([H:52])[c:53]([H:54])[c:55]1[H:56],0.28104538830979797,0.31029335046144607,0.26760657925411974,0.20368923982549164,0.29233194459347295,0.32149620675436136,0.2789632631218665,0.21496598465640832,0.2856905204733097,0.31475736492038225,0.27213100086032826,0.20861661795991715,0.27389762327893974,0.30271682602109695,0.2596823518847698,0.1968166633634607,0.2711106072487508,0.031845975589377205
9,[C:1]([H:2])([H:3])=[N+:4]([O-:5])[O-:6].[C:7](=[C:8]([C:9](=[O:10])[N:11]([C:12]([H:13])([H:14])[H:15])[C:16]([H:17])([H:18])[H:19])[C:20]([H:21])([H:22])[H:23])([c:24]1[c:25]([H:26])[c:27]([H:28])[c:29]([H:30])[c:31]([H:32])[c:33]1[H:34])[c:35]1[c:36]([H:37])[c:38]([H:39])[c:40]([H:41])[c:42]([H:43])[c:44]1[H:45],0.3076090592989481,0.3505905444062487,0.3430276242877578,0.3470471093038771,0.30064210624618704,0.3438888253741932,0.3365265522096389,0.3403578500620144,0.3004900651305908,0.3435488426605676,0.33609301931597996,0.33991000966974066,0.22065395724849135,0.2637968530141929,0.25628440097555993,0.26071659291388516,0.28043241931405904,0.030876056445043664
