,xxx,HOMO-3/LUMO,HOMO-3/LUMO+1,HOMO-3/LUMO+2,HOMO-3/LUMO+3,HOMO-2/LUMO,HOMO-2/LUMO+1,HOMO-2/LUMO+2,HOMO-2/LUMO+3,HOMO-1/LUMO,HOMO-1/LUMO+1,HOMO-1/LUMO+2,HOMO-1/LUMO+3,HOMO/LUMO,HOMO/LUMO+1,HOMO/LUMO+2,HOMO/LUMO+3,IP,EA
0,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:7])([C:8]([C:9]([H:17])([H:18])[H:19])([H:15])[H:16])[H:33])([H:13])[H:14])([H:10])([H:11])[H:12].[C:20]([C:21]([C:22]([C:23]([H:34])[H:35])([N:24]([C:25](=[O:26])[H:37])[H:36])[H:32])([H:30])[H:31])([H:27])([H:28])[H:29],0.47423538626385164,0.5037870798371401,0.5229022202836353,0.5399892562868513,0.43974444465778423,0.46930591078481265,0.48834114520047744,0.5055110413107027,0.4172408691157926,0.4468515723784403,0.4658407036584398,0.48297061285841225,0.407225976500436,0.4368269577377043,0.4558073309863933,0.47308430555057257,0.3377292382051721,-0.08504920574994172
1,[C:15]([C:16]([C:17]([C:18]([H:31])([H:32])[H:33])([c:19]1[c:20]([H:34])[c:21]([H:35])[c:22]([H:36])[c:23]([H:37])[c:24]1[H:38])[H:30])([H:28])[H:29])([H:25])([H:26])[H:27].[C:1]([C:2]([C:3]([H:4])([O:5][C:6]([H:12])([H:13])[H:14])[H:11])[H:10])([H:7])([H:8])[H:9],0.4509791549707833,0.455683342046388,0.5202628736196021,0.5323986792655172,0.4048206077813884,0.4094462437426679,0.4740228412770242,0.486077366855436,0.3903418203617453,0.39501207412211564,0.4594905036649317,0.4716014846806532,0.3714485624465419,0.3761586655523618,0.4407607515117033,0.45282703199823704,0.3101843105278057,-0.06423656921551624
2,[O:1]([C:2]([C:3]([H:8])[H:9])([H:6])[H:7])[H:5].[S:4]([H:10])[O:11][H:12],0.5095426204428003,0.5376849537498206,0.5588487831504703,0.5838062884537727,0.4777127589008982,0.5057882823913055,0.5270180778552354,0.5519293650794406,0.44724535356768724,0.4753690591838371,0.4966784816986527,0.5215145033465305,0.4151106073899641,0.4434010525417561,0.4641425597271864,0.4894727602352732,0.3445260059291555,-0.10598123996079009
3,[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]#[N:5])[C:14]([C:13]([C:12]([H:18])([H:19])[H:20])([H:21])[H:22])([C:15]([H:24])([H:25])[H:26])[H:23])([H:6])([H:7])[H:8].[O:16][C:17]([H:27])([H:28])[H:29],0.5249090389073396,0.5302842731296876,0.5357550367248438,0.5610232648135925,0.5186472548442325,0.5240765718200981,0.5295315856799109,0.5547467424913364,0.5044545569331071,0.5098584896870905,0.5153641174612155,0.5405942555200152,0.4935222963496161,0.49901505752834757,0.5043734593507603,0.5297164873187185,0.3889179477170594,-0.11458210736585919
4,[C:1]([C:2]([C:3]([C:4]([H:15])([H:16])[H:17])([C:5]([H:18])([H:19])[H:20])[C:6](=[O:7])[O:8][C:9]([H:21])[H:22])([H:13])[H:14])([H:10])([H:11])[H:12].[H:23][C:26]([C:25]([C:24]([H:31])([H:32])[H:33])([H:34])[H:35])([H:27])[N:28]([C:29](=[O:30])[H:37])[H:36],0.47416258038408043,0.5013954722311957,0.5214621045529217,0.5416194043708603,0.44983635149125034,0.4770547472680592,0.4971021692301248,0.51728060856099,0.41855777736301264,0.445797086454098,0.4657873235856894,0.4859985865753974,0.40873604795318486,0.4359718903501021,0.4559448775534025,0.47625555105843576,0.34056021420727994,-0.08049021326171882
5,[C:1]([C:2]([C:3](=[C:4]([H:14])[H:16])[C:5](=[O:6])[O:7][C:8]([H:17])([H:18])[H:19])([H:12])[H:13])([H:9])([H:10])[H:11].[H:15][C:21]([C:20]([H:26])([H:27])[H:28])([O:22])[O:23][C:24](=[C:25]([H:30])[H:31])[H:29],0.41034738425388256,0.4884157236733301,0.5305610773891456,0.5392153183898901,0.387392489429787,0.4655089442061377,0.5076678558070451,0.5162490867965248,0.36800664148735834,0.44615842918755416,0.48835710571902846,0.4969400173512232,0.33614811122211863,0.4143084772809903,0.4564094328788947,0.4651098006052609,0.3232508735420224,-0.02333068509015911
6,[C:1]([C:2]([H:3])[H:4])([H:5])([H:6])[H:7].[C:8]([C:9]([C:10]([C:11]([H:21])([H:22])[H:23])([N:12]([C:13](=[O:14])[H:25])[H:24])[H:20])([H:18])[H:19])([H:15])([H:16])[H:17],0.5245390657564688,0.5401830289721955,0.5575841801784209,0.5712394298189903,0.5142396024647401,0.529873572959491,0.5472658715638993,0.5609808874258755,0.439560801906309,0.45531554445192757,0.4726549315151088,0.48634190980263403,0.4326903304562806,0.44849905239587357,0.4657147625943763,0.47948113083374294,0.3366871724676907,-0.11515560161686271
7,[C:1]([O:2][C:3](=[O:4])[C:5]([C:6]([H:14])([H:15])[H:16])([C:7]([H:17])([H:18])[H:19])[C:8]([H:9])([H:10])[C:24]([O:23][C:21]([C:20]([H:26])([H:27])[H:28])=[O:22])([C:25]([H:30])[H:31])[H:29])([H:11])([H:12])[H:13],0.47304192466158357,0.4832286372631624,0.5227560623095975,0.5410547558204922,0.4545729221167704,0.46476593945970573,0.5043461984106443,0.5226331966251678,0.4407947915469069,0.451043153225758,0.49049435578055,0.5089258178010214,0.4245907955958256,0.43476446048054307,0.4741301363387434,0.492593453016646,0.35354209848172813,-0.08795918202102834
8,[C:1]([C:2]([O:3])([H:11])[H:12])([H:8])([H:9])[H:10].[C:4](=[O:5])([C:6](=[C:7]([H:14])[H:15])[H:13])[O:18][O:17][C:16]([H:19])([H:20])[H:21],0.4042190281818473,0.5268448429655752,0.5419054165696405,0.5538470465412052,0.39168611073254733,0.5143320559368336,0.5295663873168359,0.5414731991119975,0.3820793932509447,0.5047106474358983,0.519798442888082,0.5317440789656848,0.35271715774102735,0.4755153111108085,0.49074122497239225,0.5026951976143201,0.35566225781853505,-0.020504923152576026
9,[C:1]([C:2]([C:3]1([C:5](=[O:6])[O:7][C:8]([H:17])([H:18])[H:19])[C:21]([C:20]([H:26])([H:27])[H:28])([O:23][C:24](=[C:25]([H:30])[H:31])[H:29])[O:22]1)([H:12])[H:13])([H:9])([H:10])[H:11].[C:4]([H:14])([H:15])[H:16],0.45723687940013863,0.4891204244961217,0.5279416144940188,0.5435533141354452,0.4433364201191566,0.4751604212382965,0.5140354676591198,0.529603753209959,0.41884889564362454,0.4506567728104506,0.4894909390427153,0.5051746486116692,0.3873680430788465,0.41919001758808133,0.458040836107087,0.4736965132043546,0.3260399927509495,-0.07417282471137174
10,[C:1]([O:2][C:3](=[O:4])[C:5]([C:6]([H:11])[H:12])([C:7]([H:13])([H:14])[H:15])[C:20]([C:18]([O:17][C:16]([H:23])([H:24])[H:25])([C:19]([H:27])([H:28])[H:29])[H:26])([H:21])[H:22])([H:8])([H:9])[H:10],0.47727437811882173,0.5168137694797529,0.5372356436861534,0.5503288289733643,0.4639071213058779,0.5034247177332734,0.5238982369705733,0.5370099776526354,0.43428742772949736,0.47381577904635586,0.49431928312678386,0.5074459936455222,0.4196067700367436,0.4592134204741455,0.4795848038715575,0.492777681552037,0.3399562595560077,-0.0971331204943107
11,[C:1]([C:2]([C:3](=[C:4]([H:14])[H:16])[C:5](=[O:6])[O:7][C:8]([H:17])([H:18])[H:19])([H:12])[H:13])([H:9])([H:10])[H:11].[H:15][C:21]([C:20]([H:26])([H:27])[H:28])([C:22]([H:29])[H:30])[C:23](=[O:24])[O:25][H:31],0.4202177372078689,0.48548492182156755,0.5270624951098801,0.5417191877078755,0.3961877998531169,0.4614723944806637,0.5031277568902482,0.5177079472118253,0.38584973474133283,0.4511808208036225,0.4928339765576434,0.5075484074445388,0.36828702263546564,0.43355533518149764,0.47513124787499433,0.48989589606744327,0.35029422395978255,-0.03208057775817044
12,[C:13]([C:14](=[C:15]([H:16])[H:17])[O:18][C:19](=[O:20])[C:21]([H:26])([H:27])[H:28])([H:22])([H:23])[H:24].[C:1]([C:2]([C:3]([H:8])[H:9])([C:4]([H:10])([H:11])[H:12])[H:25])([H:5])([H:6])[H:7],0.4785951717682292,0.5122809684546692,0.5414593981069117,0.562414938990702,0.4707172792791372,0.504458960795764,0.5336421970728233,0.5545619190502721,0.42983852228719677,0.46360274087993963,0.49274432399301293,0.5137187598930124,0.384329320380694,0.418070998386316,0.44717741651926063,0.468240878119248,0.32086035634810717,-0.07432015397914751
13,[C:12]([O:13][C:14](=[C:15]([H:20])[H:21])[H:19])([H:16])([H:17])[H:18].[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])[C:4]#[N:5])([H:6])([H:7])[H:8],0.5155188464227501,0.5362224900659645,0.5507932619630352,0.5733677467886126,0.5030205043843256,0.5237525862418845,0.5383444475341105,0.5609271837265487,0.49289801552939105,0.5136090155242587,0.5282110278543108,0.5508425931504306,0.39779607278255014,0.4186114251522115,0.43306043790397303,0.45585618495289976,0.3144725555925182,-0.09809057101828315
14,[O:1]([C:2]([C:3]([C:4]([C:5]([C:6]([C:7]([H:18])([H:19])[H:20])([H:16])[H:17])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])[H:9])[H:8],0.5310329909319772,0.5450601730745228,0.5570369974284052,0.5702293046436768,0.5274596745182263,0.5415012598437192,0.553565970631442,0.5667038231903143,0.5161534768913534,0.530198744582451,0.5422470970869222,0.5554345142446611,0.4655129309074309,0.47958666907434405,0.4913928637731006,0.504742126022768,0.35774240963157133,-0.12693661618213117
