,xxx
0,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([H:7])([C:8]([C:9]([H:17])([H:18])[H:19])([H:15])[H:16])[H:33])([H:13])[H:14])([H:10])([H:11])[H:12].[C:20]([C:21]([C:22]([C:23]([H:34])[H:35])([N:24]([C:25](=[O:26])[H:37])[H:36])[H:32])([H:30])[H:31])([H:27])([H:28])[H:29]
1,[C:15]([C:16]([C:17]([C:18]([H:31])([H:32])[H:33])([c:19]1[c:20]([H:34])[c:21]([H:35])[c:22]([H:36])[c:23]([H:37])[c:24]1[H:38])[H:30])([H:28])[H:29])([H:25])([H:26])[H:27].[C:1]([C:2]([C:3]([H:4])([O:5][C:6]([H:12])([H:13])[H:14])[H:11])[H:10])([H:7])([H:8])[H:9]
2,[O:1]([C:2]([C:3]([H:8])[H:9])([H:6])[H:7])[H:5].[S:4]([H:10])[O:11][H:12]
3,[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]#[N:5])[C:14]([C:13]([C:12]([H:18])([H:19])[H:20])([H:21])[H:22])([C:15]([H:24])([H:25])[H:26])[H:23])([H:6])([H:7])[H:8].[O:16][C:17]([H:27])([H:28])[H:29]
4,[C:1]([C:2]([C:3]([C:4]([H:15])([H:16])[H:17])([C:5]([H:18])([H:19])[H:20])[C:6](=[O:7])[O:8][C:9]([H:21])[H:22])([H:13])[H:14])([H:10])([H:11])[H:12].[H:23][C:26]([C:25]([C:24]([H:31])([H:32])[H:33])([H:34])[H:35])([H:27])[N:28]([C:29](=[O:30])[H:37])[H:36]
5,[C:1]([C:2]([C:3](=[C:4]([H:14])[H:16])[C:5](=[O:6])[O:7][C:8]([H:17])([H:18])[H:19])([H:12])[H:13])([H:9])([H:10])[H:11].[H:15][C:21]([C:20]([H:26])([H:27])[H:28])([O:22])[O:23][C:24](=[C:25]([H:30])[H:31])[H:29]
6,[C:1]([C:2]([H:3])[H:4])([H:5])([H:6])[H:7].[C:8]([C:9]([C:10]([C:11]([H:21])([H:22])[H:23])([N:12]([C:13](=[O:14])[H:25])[H:24])[H:20])([H:18])[H:19])([H:15])([H:16])[H:17]
7,[C:1]([O:2][C:3](=[O:4])[C:5]([C:6]([H:14])([H:15])[H:16])([C:7]([H:17])([H:18])[H:19])[C:8]([H:9])([H:10])[C:24]([O:23][C:21]([C:20]([H:26])([H:27])[H:28])=[O:22])([C:25]([H:30])[H:31])[H:29])([H:11])([H:12])[H:13]
8,[C:1]([C:2]([O:3])([H:11])[H:12])([H:8])([H:9])[H:10].[C:4](=[O:5])([C:6](=[C:7]([H:14])[H:15])[H:13])[O:18][O:17][C:16]([H:19])([H:20])[H:21]
9,[C:1]([C:2]([C:3]1([C:5](=[O:6])[O:7][C:8]([H:17])([H:18])[H:19])[C:21]([C:20]([H:26])([H:27])[H:28])([O:23][C:24](=[C:25]([H:30])[H:31])[H:29])[O:22]1)([H:12])[H:13])([H:9])([H:10])[H:11].[C:4]([H:14])([H:15])[H:16]
10,[C:1]([O:2][C:3](=[O:4])[C:5]([C:6]([H:11])[H:12])([C:7]([H:13])([H:14])[H:15])[C:20]([C:18]([O:17][C:16]([H:23])([H:24])[H:25])([C:19]([H:27])([H:28])[H:29])[H:26])([H:21])[H:22])([H:8])([H:9])[H:10]
11,[C:1]([C:2]([C:3](=[C:4]([H:14])[H:16])[C:5](=[O:6])[O:7][C:8]([H:17])([H:18])[H:19])([H:12])[H:13])([H:9])([H:10])[H:11].[H:15][C:21]([C:20]([H:26])([H:27])[H:28])([C:22]([H:29])[H:30])[C:23](=[O:24])[O:25][H:31]
12,[C:13]([C:14](=[C:15]([H:16])[H:17])[O:18][C:19](=[O:20])[C:21]([H:26])([H:27])[H:28])([H:22])([H:23])[H:24].[C:1]([C:2]([C:3]([H:8])[H:9])([C:4]([H:10])([H:11])[H:12])[H:25])([H:5])([H:6])[H:7]
13,[C:12]([O:13][C:14](=[C:15]([H:20])[H:21])[H:19])([H:16])([H:17])[H:18].[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])[C:4]#[N:5])([H:6])([H:7])[H:8]
14,[O:1]([C:2]([C:3]([C:4]([C:5]([C:6]([C:7]([H:18])([H:19])[H:20])([H:16])[H:17])([H:14])[H:15])([H:12])[H:13])([H:10])[H:11])[H:9])[H:8]
15,[C:1]([C:2]([C:3]([H:8])[H:9])([C:4]([H:10])([H:11])[H:12])[C:15]([C:14]([C:13]([H:22])([H:23])[H:24])([O:18][C:19](=[O:20])[C:21]([H:26])([H:27])[H:28])[H:25])([H:16])[H:17])([H:5])([H:6])[H:7]
16,[C:1]([C:2]([C:3]([H:9])([H:10])[H:11])([C:4]#[N:5])[C:17]1([H:25])[C:16]([H:24])[C:15]([H:23])=[C:14]([C:13](=[C:12]([H:20])[H:21])[H:22])[C:19]([H:27])=[C:18]1[H:26])([H:6])([H:7])[H:8]
17,[C:1]([C:2]([C:3](=[C:4][H:12])[H:10])([H:8])[H:9])([H:5])([H:6])[H:7].[H:11][C:15]([C:14]([C:13]([H:23])([H:24])[H:25])([H:26])[H:27])([H:16])[c:17]1[c:18]([H:28])[c:19]([H:29])[c:20]([H:30])[c:21]([H:31])[c:22]1[H:32]
