rxn,smiles,ea
576,[C:3]([C:4](=[O:5])[O:6][C:7](=[C:8]([H:13])[H:14])[H:12])([H:9])([H:10])[H:11].[O:1][H:2]>>[C:7](=[C:8]([H:13])[H:14])[H:12].[O:1]([H:2])[O:5][C:4]([C:3]([H:9])([H:10])[H:11])=[O:6],92.2065224928374
3487,[C:17]([O:18][C:19](=[C:20]([H:25])[H:26])[H:24])([H:21])([H:22])[H:23].[C:1]([C:2]([C:3]([C:4]([H:11])([H:12])[H:13])[C:5]([H:14])([H:15])[H:16])([H:9])[H:10])([H:6])([H:7])[H:8]>>[C:17]([H:21])([H:22])[H:23].[C:1]([C:2]([C:3]([C:4]([H:11])([H:12])[H:13])=[C:5]([H:15])[H:16])([H:9])[H:10])([H:6])([H:7])[H:8].[H:14][O:18][C:19](=[C:20]([H:25])[H:26])[H:24],69.57222347706556
4378,[C:16]([C:17]([C:18]([H:19])([H:20])[H:27])[N:21]([C:22](=[O:23])[H:29])[H:28])([H:24])([H:25])[H:26].[C:1]([O:2][C:3](=[O:4])[C:5](=[C:6]([H:11])[H:12])[C:7]([H:13])([H:14])[H:15])([H:8])([H:9])[H:10]>>[C:16]([C:17](=[C:18]([H:19])[H:20])[N:21]([C:22](=[O:23])[H:29])[H:28])([H:24])([H:25])[H:26].[C:1]([O:2][C:3](=[O:4])[C:5]=[C:6]([H:11])[H:12])([H:8])([H:9])[H:10].[C:7]([H:13])([H:14])([H:15])[H:27],79.86479335569311
4439,[C:13]([O:14][C:15]([C:16]([H:24])([H:25])[H:26])([C:17]([H:18])[H:19])[H:23])([H:20])([H:21])[H:22].[C:1]([C:2](=[C:3]([H:10])[H:11])[C:4](=[O:5])[O:6][H:12])([H:7])([H:8])[H:9]>>[C:13]([O:14][C:15]([C:16]([H:24])([H:25])[H:26])=[C:17]([H:18])[H:19])([H:20])([H:21])[H:22].[C:1]([C:2]([C:3]([H:10])([H:11])[H:23])[C:4](=[O:5])[O:6][H:12])([H:7])([H:8])[H:9],32.202121874084696
2977,[C:16]([C:17]([C:18]([C:19]([H:29])([H:30])[H:31])[C:20](=[O:21])[O:22][C:23]([H:32])([H:33])[H:34])([H:27])[H:28])([H:24])([H:25])[H:26].[C:1]([C:2]([O:3][C:4](=[O:5])[C:6](=[C:7]([H:14])[H:15])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2]([H:11])([H:12])[C:18]([C:17]([C:16]([H:24])([H:25])[H:26])([H:27])[H:28])([C:19]([H:29])([H:30])[H:31])[C:20](=[O:21])[O:22][C:23]([H:32])([H:33])[H:34])([H:8])([H:9])[H:10].[O:3][C:4](=[O:5])[C:6](=[C:7]([H:14])[H:15])[H:13],55.72852547245566
2481,[C:1]([C:2]([O:3][C:4](=[O:5])[C:6]([C:7]([H:16])([H:17])[H:18])([C:8]([C:9]([H:21])([H:22])[H:23])([H:19])[H:20])[H:15])([H:13])[H:14])([H:10])([H:11])[H:12].[O:24][H:25]>>[C:1]([C:2]([O:3][C:4]([O:5])([C:6]([C:7]([H:16])([H:17])[H:18])([C:8]([C:9]([H:21])([H:22])[H:23])([H:19])[H:20])[H:15])[O:24][H:25])([H:13])[H:14])([H:10])([H:11])[H:12],18.22927525360137
4141,[C:1]([C:2]([C:3]([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[O:7][C:8]([H:17])([H:18])[H:19])[C:21]([C:20]([H:26])([H:27])[H:28])([O:22])[O:23][C:24](=[C:25]([H:30])[H:31])[H:29])([H:12])[H:13])([H:9])([H:10])[H:11]>>[C:1]([C:2]([H:12])[H:13])([H:9])([H:10])[H:11].[C:3]1([C:4]([H:14])([H:15])[H:16])([C:5](=[O:6])[O:7][C:8]([H:17])([H:18])[H:19])[C:21]([C:20]([H:26])([H:27])[H:28])([O:23][C:24](=[C:25]([H:30])[H:31])[H:29])[O:22]1,41.74804100120673
4928,[C:15](=[C:16]([c:17]1[c:18]([H:26])[c:19]([H:27])[c:20]([H:28])[c:21]([H:29])[c:22]1[H:30])[H:25])([H:23])[H:24].[C:1]([C:2]([C:3]([H:4])[O:5][C:6]([H:12])([H:13])[H:14])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2](=[C:3]([H:4])[O:5][C:6]([H:12])([H:13])[H:14])[H:10])([H:7])([H:8])[H:9].[H:11][C:15]([C:16]([c:17]1[c:18]([H:26])[c:19]([H:27])[c:20]([H:28])[c:21]([H:29])[c:22]1[H:30])[H:25])([H:23])[H:24],30.19159310683608
3045,[C:16]([C:17]([C:18]([H:19])[O:20][C:21]([H:27])([H:28])[H:29])([H:25])[H:26])([H:22])([H:23])[H:24].[C:1]([C:2]([O:3][C:4](=[O:5])[C:6](=[C:7]([H:14])[H:15])[H:13])([H:11])[H:12])([H:8])([H:9])[H:10]>>[C:1]([C:2]([O:3][C:4]1([C:6](=[C:7]([H:14])[H:15])[H:13])[O:5][C:18]1([C:17]([C:16]([H:22])([H:23])[H:24])([H:25])[H:26])[H:19])([H:11])[H:12])([H:8])([H:9])[H:10].[O:20][C:21]([H:27])([H:28])[H:29],68.90592720801942
1334,[C:10]([C:11]([C:12]([H:13])[H:14])([C:15](=[O:16])[N:17]([H:22])[H:23])[H:21])([H:18])([H:19])[H:20].[O:1]([C:2](=[O:3])[C:4](=[C:5]([H:8])[H:9])[H:7])[H:6]>>[C:10]([C:11](=[C:12]([H:13])[H:14])[C:15](=[O:16])[N:17]([H:22])[H:23])([H:18])([H:19])[H:20].[O:1]([C:2](=[O:3])[C:4]([C:5]([H:8])[H:9])([H:7])[H:21])[H:6],31.482105812930968
1562,[C:10]([C:11]([C:12]([H:13])[N:14]([C:15](=[O:16])[H:23])[H:22])([H:20])[H:21])([H:17])([H:18])[H:19].[O:1]([C:2](=[O:3])[C:4](=[C:5]([H:8])[H:9])[H:7])[H:6]>>[C:10]([C:11](=[C:12]([H:13])[N:14]([C:15](=[O:16])[H:23])[H:22])[H:21])([H:17])([H:18])[H:19].[O:1]([C:2]([O:3])([C:4](=[C:5]([H:8])[H:9])[H:7])[H:20])[H:6],47.81080596859101
3755,[C:17]([C:18](=[O:19])[O:20][C:21](=[C:22]([H:27])[H:28])[H:26])([H:23])([H:24])[H:25].[C:1]([C:2]([C:3]([H:4])[C:5]([C:6]([H:14])([H:15])[H:16])([H:12])[H:13])([H:10])[H:11])([H:7])([H:8])[H:9]>>[C:1]([C:2]([C:3]([H:4])([C:5]([C:6]([H:14])([H:15])[H:16])([H:12])[H:13])[O:19][C:18]([C:17]([H:23])([H:24])[H:25])[O:20][C:21](=[C:22]([H:27])[H:28])[H:26])([H:10])[H:11])([H:7])([H:8])[H:9],32.30639106599847
505,[C:1]([O:2][O:3])([H:4])([H:5])[H:6].[C:7]([C:8]([C:9]([C:10]([H:21])([H:22])[H:23])([O:11][C:12](=[O:13])[C:14]([H:24])([H:25])[H:26])[H:20])([H:18])[H:19])([H:15])([H:16])[H:17]>>[C:1]([O:2][O:3][C:8]([C:7]([H:15])([H:16])[H:17])([H:18])[H:19])([H:4])([H:5])[H:6].[C:9]([C:10]([H:21])([H:22])[H:23])([O:11][C:12](=[O:13])[C:14]([H:24])([H:25])[H:26])[H:20],65.15909404115519
4471,[C:13]([C:14]([C:15]([H:16])[H:17])([c:18]1[c:19]([H:28])[c:20]([H:29])[c:21]([H:30])[c:22]([H:31])[c:23]1[H:32])[H:27])([H:24])([H:25])[H:26].[C:1]([C:2](=[C:3]([H:10])[H:11])[C:4](=[O:5])[O:6][H:12])([H:7])([H:8])[H:9]>>[C:13]([C:14](=[C:15]([H:16])[H:17])[c:18]1[c:19]([H:28])[c:20]([H:29])[c:21]([H:30])[c:22]([H:31])[c:23]1[H:32])([H:24])([H:25])[H:26].[C:1]([C:2](=[C:3]([H:10])[H:11])[C:4]([O:5][H:27])[O:6][H:12])([H:7])([H:8])[H:9],33.86505052819848
1020,[C:14]([C:15](=[C:16]([H:23])[H:24])[C:17](=[O:18])[O:19][H:25])([H:20])([H:21])[H:22].[C:1]([C:2]([C:3]([H:4])[H:5])([C:6](=[O:7])[O:8][H:13])[H:12])([H:9])([H:10])[H:11]>>[C:1]([C:2](=[C:3]([H:4])[H:5])[C:6](=[O:7])[O:8][H:13])([H:9])([H:10])[H:11].[H:12][O:18][C:17]([C:15]([C:14]([H:20])([H:21])[H:22])=[C:16]([H:23])[H:24])[O:19][H:25],30.78940639132633
1654,[C:15]([C:16]([C:17]([C:18]([H:31])([H:32])[H:33])([c:19]1[c:20]([H:34])[c:21]([H:35])[c:22]([H:36])[c:23]([H:37])[c:24]1[H:38])[H:30])([H:28])[H:29])([H:25])([H:26])[H:27].[C:1]([C:2]([C:3]([H:4])[H:5])([C:6](=[O:7])[N:8]([H:13])[H:14])[H:12])([H:9])([H:10])[H:11]>>[C:15]([C:16]([C:17]([c:19]1[c:20]([H:34])[c:21]([H:35])[c:22]([H:36])[c:23]([H:37])[c:24]1[H:38])[H:30])([H:28])[H:29])([H:25])([H:26])[H:27].[C:1]([C:2](=[C:3]([H:4])[H:5])[C:6](=[O:7])[N:8]([H:13])[H:14])([H:9])([H:10])[H:11].[H:12][C:18]([H:31])([H:32])[H:33],72.35908458352787
